title,category,category_seq
"Mrs Sinclair's Suitcase: 'A heart-breaking tale of loss, missed chances and enduring love' Good Housekeeping by Louise Walters (Paperback, 2014)","eBay ~ Books, Comics & Magazines ~ Books",0
"Stone Mothers: The addictive new thriller from the author of He Said/She Said and Richard & Judy Book Club pick by Erin Kelly (Hardcover, 2019)","eBay ~ Books, Comics & Magazines ~ Books",0
"Don't Close Your Eyes: The astonishing psychological thriller from bestselling author of Try Not to Breathe by Holly Seddon (Paperback, 2018)","eBay ~ Books, Comics & Magazines ~ Books",0
"Regency Scandal: Dissolute Ways: The Runaway Countess (Bancrofts of Barton Park) / Running from Scandal by Amanda McCabe (Paperback, 2020)","eBay ~ Books, Comics & Magazines ~ Books",0
"Gone Without A Trace: a gripping psychological thriller with a twist readers can't stop talking about by Mary Torjussen (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Brian May's Red Special: The Story of the Home-made Guitar that Rocked Queen and the World by Brian May, Simon Bradley (Hardcover, 2020)","eBay ~ Books, Comics & Magazines ~ Books",0
"What Would Boudicca Do?: Everyday Problems Solved by History's Most Remarkable Women by Elizabeth Foley, Beth Coates (Paperback, 2019)","eBay ~ Books, Comics & Magazines ~ Books",0
"Grow Your Own Vegetables in Pots and Containers: A practical guide to growing food in small spaces by Paul Peacock (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Pirata: The dramatic novel of the pirates who hunt the seas of the Roman Empire by Simon Scarrow, T. J. Andrews (Paperback, 2019)","eBay ~ Books, Comics & Magazines ~ Books",0
"A Pinch of Salt: Escape to the Highlands with a story of love, loss and family this Christmas by Eileen Ramsay (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Lancashire cycle Map 30: Including The Pennine Cycleway, The Way of the Roses, Bay Cycle Way and 5 day rides. by Sustrans (2018)","eBay ~ Books, Comics & Magazines ~ Books",0
"Make Peace with Your Mind: How Mindfulness and Compassion Can Free You from Your Inner Critic by Mark Coleman (Paperback, 2016)","eBay ~ Books, Comics & Magazines ~ Books",0
"Taking the Plunge: The Healing Power of Wild Swimming for Mind, Body and Soul by Anna Deacon, Vicky Allan (Hardcover, 2019)","eBay ~ Books, Comics & Magazines ~ Books",0
"Reactions: An Illustrated Exploration of Elements, Molecules, and Change in the Universe by Theodore Gray (Hardcover, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"First Fighter Ace: In the Cockpit with a World War II Fighter Pilot by John Bednarz, Stanislaw Skalski (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Amber's Donkey: How a donkey and a little girl healed each other by Tracy Austwick, Julian Austwick (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Mary Poppins Returns: Music from the Motion Picture Soundtrack by Scott Wittman, Disney Licensed Publishing (2018)","eBay ~ Books, Comics & Magazines ~ Books",0
"The Little Book of Shakespeare's Insults: Biting Barbs and Poisonous Put-Downs by Orange Hippo! (Hardcover, 2021)","eBay ~ Books, Comics & Magazines ~ Books",0
"Devils, Lusts and Strange Desires: The Life of Patricia Highsmith by Professor Richard Bradford (Hardcover, 2021)","eBay ~ Books, Comics & Magazines ~ Books",0
"Lethal Game: 'The queen of paranormal romance' by Penguin Publishing Group, Christine Feehan (Paperback, 2020)","eBay ~ Books, Comics & Magazines ~ Books",0
"Incredible Hercules: The Complete Collection Vol. 1 by Jeff Parker, Greg Pak, Fred van Lente (Paperback, 2019)","eBay ~ Books, Comics & Magazines ~ Books",0
"Ben and Holly's Little Kingdom: Outdoor Explorers Sticker Activity Book by Penguin Books Ltd (Paperback, 2017)","eBay ~ Books, Comics & Magazines ~ Books",0
"Mr. Men Little Miss: You are Brilliant: Believe in what you can achieve by Adam Hargreaves (Paperback, 2020)","eBay ~ Books, Comics & Magazines ~ Books",0
"The New Spymasters: Inside Espionage from the Cold War to Global Terror by Stephen Grey (Paperback, 2015)","eBay ~ Books, Comics & Magazines ~ Books",0
"Their Greatest Disgrace - The campaign to clear the Chinook ZD576 Pilots by David Hill (Paperback, 2016)","eBay ~ Books, Comics & Magazines ~ Books",0
"Panther on the Battlefield: World War Two Photobook Series: Volume 6 by Matyas Panczel (Hardcover, 2014)","eBay ~ Books, Comics & Magazines ~ Books",0
"Beyond Possible: The man and the mindset that summitted K2 in winter by Nimsdai Purja (Paperback, 2020)","eBay ~ Books, Comics & Magazines ~ Books",0
