class,precision,recall,f1-score,support,f0.5-score,model
accessories~belts~n/d,0.893491124260355,0.8388888888888889,0.8653295128939829,180,0.8820093457943924,bayes
clothing~suits~double  breasted suits,1.0,0.02631578947368421,0.05128205128205127,38,0.11904761904761905,bayes
clothing~suits~single breasted suits,0.8613445378151261,0.9738717339667459,0.9141583054626533,421,0.881720430107527,bayes
clothing~sweaters & knitwear~cardigans,0.7963576158940397,0.8453427065026362,0.8201193520886616,569,0.8056951423785597,bayes
clothing~sweaters & knitwear~hoodies,0.9306513409961685,0.9218216318785579,0.9262154432793137,2635,0.9288718929254303,bayes
clothing~sweaters & knitwear~jumpers,0.871334943083822,0.843687374749499,0.8572883081622263,2994,0.8656614119259766,bayes
clothing~sweaters & knitwear~n/d,0.3333333333333333,0.023809523809523808,0.044444444444444446,42,0.09259259259259259,bayes
clothing~sweaters & knitwear~sweatshirts,0.8148325358851675,0.8033018867924528,0.8090261282660333,2120,0.8125,bayes
clothing~t-shirts & vests~n/d,0.0,0.0,0.0,67,,bayes
clothing~t-shirts & vests~t-shirts,0.944874532835024,0.9259646827992152,0.9353240404307327,7645,0.9410310265067929,bayes
clothing~skirts~straight skirts,0.4262295081967213,0.08099688473520249,0.13612565445026178,321,0.23008849557522124,bayes
clothing~t-shirts & vests~vests & tanks,0.8232044198895028,0.7129186602870813,0.764102564102564,209,0.7984994640943194,bayes
clothing~tops~cardigans,0.0,0.0,0.0,65,,bayes
clothing~tops~hoodies,0.807914262159934,0.8703374777975134,0.837964942283027,1126,0.8196721311475409,bayes
clothing~tops~n/d,0.0,0.0,0.0,56,,bayes
clothing~tops~polo tops,0.4716981132075472,0.39893617021276595,0.4322766570605187,188,0.45509708737864074,bayes
clothing~tops~shirts,0.7782820097244733,0.8293609671848013,0.8030100334448161,2895,0.7879881851000985,bayes
clothing~tops~sweatshirts,0.7425237053245806,0.8163592622293504,0.7776928953399541,1247,0.7562026444807606,bayes
clothing~tops~t-shirts & jerseys,0.836491377474984,0.7834496510468594,0.8091021416803954,5015,0.8253161366214343,bayes
clothing~tops~tunics & kaftans,0.3333333333333333,0.024691358024691357,0.04597701149425287,81,0.09523809523809523,bayes
clothing~tops~vests & tank tops,0.6765523632993512,0.7841031149301826,0.7263681592039801,1862,0.6956356012959787,bayes
clothing~tops~blouses,0.7442748091603053,0.7597402597402597,0.7519280205655526,3080,0.7473173224322943,bayes
clothing~skirts~pleated skirts,0.6317991631799164,0.7294685990338164,0.6771300448430493,414,0.649183147033534,bayes
clothing~skirts~pencil skirts,0.7021276595744681,0.5136186770428015,0.593258426966292,257,0.6541129831516352,bayes
clothing~skirts~high-waisted skirts,0.42678571428571427,0.5500575373993095,0.48064353946706884,869,0.44681248831557296,bayes
clothing~knitwear~knitted skirts,0.47317073170731705,0.6139240506329114,0.5344352617079889,158,0.4959100204498978,bayes
clothing~knitwear~knitted tops,0.6012084592145015,0.6524590163934426,0.6257861635220124,1830,0.6108041743400859,bayes
clothing~knitwear~knitted trousers,0.3261538461538461,0.6162790697674418,0.4265593561368209,172,0.3600543478260869,bayes
clothing~polo shirts~n/d,0.8703874538745388,0.9477649422400803,0.9074296705938928,1991,0.8848354121729345,bayes
clothing~shirts~n/d,0.9208807161867892,0.8687514266149281,0.8940568475452196,4381,0.9099603117677999,bayes
clothing~shorts~bermuda shorts,0.5984251968503937,0.6129032258064516,0.6055776892430278,620,0.6012658227848101,bayes
clothing~shorts~cargo shorts,0.7727272727272727,0.6329787234042553,0.6959064327485379,188,0.740049751243781,bayes
clothing~shorts~chino shorts,0.8035714285714286,0.5389221556886228,0.6451612903225806,167,0.7317073170731707,bayes
clothing~shorts~deck shorts,0.35714285714285715,0.05,0.08771929824561404,100,0.16025641025641027,bayes
clothing~shorts~denim shorts,0.7205882352941176,0.44954128440366975,0.5536723163841808,109,0.6430446194225723,bayes
clothing~shorts~drop-crotch shorts,0.7297297297297297,0.4909090909090909,0.5869565217391305,55,0.6650246305418719,bayes
clothing~shorts~knee-length shorts,0.51440329218107,0.3351206434316354,0.40584415584415584,373,0.4646840148698884,bayes
clothing~shorts~leather & faux leather shorts,0.4,0.14492753623188406,0.21276595744680854,69,0.2958579881656805,bayes
clothing~shorts~mini shorts,0.0,0.0,0.0,104,,bayes
clothing~shorts~short shorts,0.6507806080525883,0.6655462184873949,0.6580805982550892,1190,0.6536810828656321,bayes
clothing~shorts~tailored shorts,0.36818181818181817,0.39705882352941174,0.38207547169811323,204,0.3736162361623616,bayes
clothing~shorts~track & running shorts,0.6811145510835913,0.8811748998664887,0.7683352735739232,749,0.7135135135135134,bayes
clothing~skirts~a-line skirts,0.597037037037037,0.5961538461538461,0.5965951147298298,676,0.5968601895734597,bayes
clothing~skirts~asymmetric & draped skirts,0.5420560747663551,0.5058139534883721,0.5233082706766917,344,0.5343980343980343,bayes
